"console","genre","publisher","developer","critic_score","total_sales","release_month"
"PS2","Platform","Namco","Namco",9.4,0.33,7
"GBA","Platform","Nintendo","Konami",7.4,0.33,10
"XB","Sports","2K Sports","Kush Games",7.3,0.33,4
"X360","Action","Microsoft","From Software",6.7,0.33,4
"X360","Action","Sega","Secret Level",4,0.33,10
"X360","Action","Ubisoft","Ubisoft Montreal",7.8,0.33,10
"3DS","Action","Nintendo","Nintendo",7,0.33,12
"PS3","Role-Playing","Sony Computer Entertainment","Game Republic",7.5,0.32,10
"Wii","Fighting","Sega","Polygon Magic",5.3,0.32,10
"PSP","Role-Playing","Atlus","Atlus Co.",7,0.32,9
"SAT","Fighting","Capcom","Capcom",8.1,0.32,9
"PS","Puzzle","Acclaim Entertainment","Taito Corporation",7.7,0.32,2
"PS2","MMO","Square Enix","Square Enix",8.4,0.32,9
"Wii","Role-Playing","Activision","n-Space",5.6,0.32,9
"X360","Role-Playing","Namco Bandai","Tri-Crescendo",7.9,0.32,9
"3DS","Platform","Nintendo","Nintendo",5.5,0.32,10
"PS","Platform","Ubisoft","Ubisoft Shanghai",8.7,0.32,9
"X360","Role-Playing","Square Enix","Square Enix",6.5,0.32,11
"GBA","Adventure","BAM! Entertainment","Crawfish Interactive - Climax",5,0.32,9
"XB","Adventure","Microsoft","Sega-AM2",7.9,0.32,10
"GC","Adventure","Ubisoft","Ubisoft Montreal",9,0.32,11
"PS","Sports","EA Sports","EA Seattle",7.1,0.32,3
"X360","Puzzle","Namco Bandai","Now Production",7.3,0.32,10
"X360","Sports","Activision","Neversoft Entertainment",8.2,0.32,11
"PS3","Sports","505 Games","HB Studios Multimedia",4.5,0.32,8
"Wii","Action","Konami","Konami",7.3,0.32,12
"PS3","Action","Sega","Secret Level",4.5,0.32,10
"PS2","Misc","Activision","FreeStyleGames",8.3,0.32,10
"PS3","Racing","Ubisoft","Tigon",6.9,0.32,3
"PS3","Action","Disney Interactive Studios","High Impact Games",6.8,0.32,8
"PS3","Action","Capcom","Blue Castle Games",7.1,0.32,10
"GBA","Action","Majesco","Pipe Dream Interactive",6.6,0.32,8
"X360","Action","Sierra Entertainment","Radical Entertainment",6.6,0.32,10
"X360","Shooter","2K Games","Venom Games / Human Head Studios",8.2,0.32,7
"X360","Shooter","Activision","Raven Software",7.7,0.32,6
"PSP","Racing","Sony Computer Entertainment","Studio Liverpool",8.2,0.32,2
"X360","Racing","Atari","Eden Studios",8,0.32,9
"PSP","Racing","Codemasters","Codemasters",7.4,0.32,9
"PS3","Shooter","Codemasters","Codemasters",6.8,0.32,6
"PSP","Fighting","Electronic Arts","Team Fusion",6.8,0.32,10
"X360","Fighting","Aksys Games","Arc System Works",8.6,0.32,7
"PC","Shooter","Electronic Arts","Visceral Games",8.9,0.32,1
"PSP","Shooter","Electronic Arts","Buzz Monkey Software",4.8,0.32,1
"X360","Shooter","Codemasters","Mercury Steam / Alchemic Productions",5.8,0.32,10
"PS4","Shooter","505 Games","Overkill Software",6.5,0.32,6
"GC","Racing","EA Sports","EA Tiburon",8.8,0.31,9
"X360","Racing","Codemasters","Asobo Studio",6.6,0.31,6
"X360","Puzzle","Atlus","Atlus",7.9,0.31,7
"GBA","Puzzle","Nintendo","Eighting/Raizing",7.2,0.31,6
"X360","Action","Capcom","Airtight Games",6.1,0.31,1
"PS","Platform","GT Interactive","Eurocom Entertainment Software",5.5,0.31,11
"PSP","Platform","Capcom","Capcom",7.9,0.31,1
"X360","Misc","Namco Bandai","Namco Bandai Games",7,0.31,11
"X360","Sports","EA Sports","EA Sports",6.9,0.31,11
"N64","Sports","Take-Two Interactive","Gear Head Entertainment",6,0.31,6
"PSP","Sports","Electronic Arts","EA Canada",6.8,0.31,10
"PSP","Platform","Activision","Treyarch",5.3,0.31,10
"PSP","Adventure","Konami","Climax Group",7.8,0.31,1
"XB","Action","Atari","Shiny Entertainment",6.7,0.31,11
"DS","Strategy","Konami","Konami",7.6,0.31,2
"PC","Strategy","Ubisoft","Blue Byte",7.8,0.31,3
"PS","Strategy","Electronic Arts","Blizzard Entertainment",7.3,0.31,8
"DS","Platform","Capcom","Inti Creates",7.5,0.31,6
"DS","Action","Ubisoft","Ubisoft Montreal",7.3,0.31,5
"WiiU","Action-Adventure","Sega","Big Red Button",3.7,0.31,11
"3DS","Puzzle","Square Enix","Arika",5.6,0.31,3
"PS2","Sports","Ubisoft","Ubisoft Montreal",6.2,0.31,11
"PS","Misc","Acclaim Entertainment","Acclaim Studios Austin",3.1,0.31,10
"PS","Misc","Activision","LTI",4.3,0.31,10
"PS2","Racing","LucasArts","Rainbow Studios",7.8,0.31,2
"X360","Racing","Activision","Eutechnyx",6,0.31,3
"PS","Racing","Sony Computer Entertainment","SCEA",7,0.3,9
"N64","Racing","Rockstar Games","Edge of Reality",5.5,0.3,6
"PS3","Fighting","Atlus","SNK Playmore Corporation",7.8,0.3,11
"PS","Fighting","Square","DreamFactory",6.7,0.3,5
"X360","Fighting","Ubisoft","Ubisoft",4,0.3,10
"DS","Role-Playing","Atlus","Atlus Co.",8.5,0.3,2
"PSP","Misc","Capcom","Digital Eclipse",7.7,0.3,3
"X360","Misc","Activision","Neversoft Entertainment",6.2,0.3,12
"X360","Misc","Konami","4mm Games / Terminal Reality",7.4,0.3,10
"PC","Sports","EA Sports","EA Canada",7,0.3,9
"DS","Platform","Activision","Vicarious Visions",6.3,0.3,5
"X360","Action","KOEI","Omega Force",6.2,0.3,2
"DS","Action","Warner Bros. Interactive","WayForward Technologies",6.4,0.3,10
"PS3","Action","Tecmo Koei","Koei",5,0.3,2
"3DS","Action","Ubisoft","Gameloft",8,0.3,4
"PS2","Action","Capcom","Capcom Production Studio 6",6.2,0.3,8
"Wii","Action","Capcom","Capcom Production Studio 4",7.6,0.3,6
"GC","Sports","EA Sports","EA Canada",8.4,0.3,10
"GBA","Action","THQ","Altron",8,0.3,9
"DS","Action","Warner Bros. Interactive","WayForward Technologies",7.5,0.3,9
"DS","Shooter","Konami","WayForward Technologies",8.1,0.3,11
"PS2","Platform","Ubisoft","Ubisoft",8.7,0.3,1
"SAT","Strategy","Working Designs","Sega",9,0.3,11
"PS2","Strategy","THQ","Pandemic Studios",8.5,0.3,3
"WiiU","Party","Nintendo","FreeStyleGames",6.8,0.3,11
"X360","Action","Microsoft Game Studios","Q Entertainment / Phantagram",6.3,0.3,8
"Wii","Action","Electronic Arts","The Sims Studio",6.4,0.3,9
"NS","Board Game","Ubisoft","Engine Software",5.3,0.3,10
"X360","Racing","Codemasters","Codemasters Birmingham",7.9,0.3,10
"PSP","Shooter","Sony Computer Entertainment","SCEA Bend Studio",8.5,0.3,3
"Wii","Sports","Ubisoft","Ubisoft Montreal",7.2,0.3,11
"PSP","Puzzle","Buena Vista","Q Entertainment",8,0.3,11
"X360","Role-Playing","Namco Bandai","SoftMax",6.6,0.3,10
"GBA","Racing","THQ","Graphic State",4.8,0.3,4
"GC","Racing","Acclaim Entertainment","Criterion Games",7.7,0.3,4
"3DS","Platform","Sega","Sanzaru Games",3.8,0.29,11
"X360","Misc","Konami","Zoe Mode / HB Studios",3.6,0.29,10
"WiiU","Action-Adventure","Ubisoft","Ubisoft Montreal",8.5,0.29,10
"X360","Sports","EA Sports","EA Canada",6.5,0.29,11
"3DS","Role-Playing","Nintendo","GREZZO",8.1,0.29,6
"PS2","Role-Playing","Ubisoft","Game Arts",7.4,0.29,1
"X360","Role-Playing","Square Enix","Cavia Inc.",6.4,0.29,4
"PS2","Role-Playing","NIS America","Gust",6.1,0.29,5
"GC","Role-Playing","Electronic Arts","EA Redwood Shores",7.9,0.29,11
"PS2","Role-Playing","NIS America","RED Entertainment",8.8,0.29,3
"NS","Simulation","Sold Out","Ghost Town Games",8.4,0.29,8
"PC","Simulation","Electronic Arts","Maxis",8.9,0.29,9
"DS","Role-Playing","Nintendo","Paon Corporation",6.8,0.29,1
"PSP","Role-Playing","Activision","Vicarious Visions",8.5,0.29,10
"Wii","Simulation","Natsume","Marvelous Interactive",6.3,0.29,8
"PSP","Simulation","Namco Bandai","Project ACES",7,0.29,8
"Wii","Simulation","Atlus","Atlus Co.",7.5,0.29,11
"GBA","Misc","Atari","Mistic Software",7.1,0.29,6
"PS3","Adventure","Sega","Shiny Entertainment",4.3,0.29,12
"3DS","Role-Playing","Atlus","Cattle Call",6,0.29,10
"DS","Strategy","THQ","Altron",6.9,0.29,2
"3DS","Adventure","Capcom","Capcom",8.1,0.29,9
"X360","Adventure","THQ","THQ",6.5,0.29,5
"PS3","Adventure","Namco Bandai","Game Republic",7,0.29,11
"Wii","Sports","2K Sports","Blue Castle Games",6.3,0.29,7
"DS","Puzzle","Sega","Sonic Team",7.7,0.29,11
"Wii","Action","Capcom","Capcom Production Studio 1 / TOSE Software",6.7,0.29,2
"Wii","Action","Ubisoft","Ubisoft Montreal",7,0.29,4
"Wii","Action","Capcom","Capcom",6,0.29,10
"PSP","Action","KOEI","Omega Force",5.3,0.29,8
"X360","Action","Activision","Next Level Games",5.9,0.29,10
"PS3","Action","Tecmo Koei","Omega Force",6.8,0.29,2
"PSP","Action","Atlus","Spike",7,0.29,11
"DS","Adventure","Nintendo","Cing",6.5,0.29,9
"NS","Music","Ubisoft","Ubisoft Paris",6.5,0.29,3
"PS2","Platform","Ubisoft","Ubisoft",7.4,0.29,3
"GC","Platform","VU Games","Eurocom Entertainment Software",6.4,0.29,11
"GBA","Platform","Majesco","Game Titan",7.2,0.29,6
"X360","Shooter","Codemasters","Spark Unlimited",4.3,0.29,2
"PSP","Racing","Warner Bros. Interactive","Bugbear Entertainment",7.3,0.29,4
"PS3","Shooter","Ubisoft","Techland",5.4,0.29,7
"PS3","Shooter","Warner Bros. Interactive","GRIN",6.2,0.29,3
"Wii","Sports","2K Sports","PawaPuro Production",8.5,0.29,10
"X360","Shooter","Atari","Starbreeze Studios AB",8.2,0.29,4
"N64","Shooter","Acclaim Entertainment","Iguana Entertainment",8.3,0.29,4
"PS3","Action-Adventure","Sony Computer Entertainment","SCE Japan Studio",8.3,0.28,7
"PSP","Platform","Sony Computer Entertainment","Pyramid/JAPAN Studio",7.4,0.28,4
"3DS","Misc","Sega","Sega",7.5,0.28,7
"Wii","Racing","Nintendo","Monster Games",7.7,0.28,4
"GBA","Sports","Activision","Vicarious Visions",6.6,0.28,9
"X360","Sports","505 Games","HB Studios Multimedia",4.8,0.28,9
"X360","Sports","EA Sports","EA Canada",7.1,0.28,11
"3DS","Misc","Nintendo","Intelligent Systems",8.1,0.28,8
"Wii","Misc","Activision","Neversoft Entertainment",5,0.28,12
"PS3","Misc","Activision","Neversoft Entertainment",6.2,0.28,12
"PS3","Action","THQ","Vigil Games",7.8,0.28,1
"PS3","Action","Sony Computer Entertainment","Zindagi Games",7,0.28,11
"X360","Action","Konami","Zombie Studios",6.2,0.28,10
"DS","Platform","Ubisoft","Griptonite Games",7.3,0.28,11
"X360","Action","Activision","High Moon Studios",6.5,0.28,6
"PS","Strategy","Activision","LTI Grey Matter",8.2,0.28,1
"Wii","Action","Warner Bros. Interactive","WayForward Technologies",7.5,0.28,9
"GBA","Action","Disney Interactive Studios","Disney Interactive",6.3,0.28,10
"PS3","Action","Ignition Entertainment","Ignition Entertainment",8,0.28,8
"PS3","Action","KOEI","Omega Force",5.8,0.28,11
"PS4","Action","Ubisoft","Red Storm Entertainment",6.8,0.28,5
"GC","Misc","Namco","Mass Media",5.1,0.28,9
"X360","Shooter","Codemasters","Codemasters",7,0.28,6
"PS3","Shooter","Namco Bandai","Volatile Games",6,0.28,4
"PSP","Sports","Sony Computer Entertainment","SCEA San Diego Studios",8.1,0.28,2
"PS2","Puzzle","Eidos Interactive","Empire Interactive",7.4,0.28,3
"PSP","Action","Rockstar Games","Rockstar Toronto / Leeds",8.1,0.28,2
"NS","Action","Nicalis","Nicalis",9,0.28,3
"PS4","Action","Namco Bandai Games","Namco Bandai Games",7.3,0.28,9
"DS","Platform","Activision","Vicarious Visions",7.1,0.28,5
"PSP","Adventure","Buena Vista","Griptonite Games",4.3,0.28,6
"GBA","Action","Atari","Webfoot Technologies",7.7,0.28,8
"PC","Simulation","Electronic Arts","Maxis",8.7,0.28,1
"PSP","Simulation","Sony Computer Entertainment","SCEE London Studio",4.9,0.28,11
"PS","Simulation","ASCII Entertainment","From Software",7.2,0.28,9
"GBA","Role-Playing","Nintendo","Square Enix",9.1,0.28,2
"PS2","Role-Playing","Xseed Games","Media.Vision",7.5,0.28,8
"3DS","Role-Playing","Atlus","Spike Chunsoft",7.6,0.28,4
"WiiU","Role-Playing","Electronic Arts","BioWare",9.2,0.28,11
"PS2","Role-Playing","Midway Games","Sacnoth",7,0.28,12
"PS","Fighting","Tecmo","Team Ninja",8.3,0.28,3
"XB","Fighting","Microsoft Game Studios","Just Add Monsters",7,0.28,2
"GBA","Fighting","Atari","WayForward Pocket Team",4.7,0.28,11
"X360","Fighting","Sega","Sega-AM2",9.2,0.28,10
"XB","Platform","Activision","Toys for Bob",6.8,0.28,5
"DS","Platform","Capcom","Inti Creates",8.1,0.28,9
"Wii","Platform","Activision","Eurocom Entertainment Software",7.2,0.28,6
"GBA","Platform","Konami","KCET",8.8,0.28,5
"X360","Shooter","Aksys Games","Cave",8,0.28,6
"PS2","Shooter","Eidos Interactive","Zoom Inc.",6.6,0.28,3
"PC","Shooter","Wargaming.net","Wargaming.net",7.8,0.28,4
"WiiU","Racing","Electronic Arts","Criterion Games",8.4,0.28,3
"GBA","Racing","TDK Mediactive","Visual Impact",4.9,0.28,11
"GC","Role-Playing","Namco","tri-Crescendo / Monolith Soft",8.2,0.27,11
"X360","Sports","EA Sports","EA Canada",8,0.27,9
"Wii","Sports","2K Sports","Visual Concepts",6.3,0.27,8
"PSP","Sports","EA Sports BIG","EA Tiburon",6.7,0.27,11
"PSP","Fighting","Namco Bandai","Dimps Corporation",6,0.27,10
"X360","Misc","Square Enix","Unknown",6.4,0.27,2
"XOne","Action-Adventure","Konami Digital Entertainment","Kojima Productions",7.7,0.27,3
"3DS","Action-Adventure","Warner Bros. Interactive Entertainment","Armature Studio",7,0.27,10
"GC","Platform","Electronic Arts","Krome Studios",7.1,0.27,9
"3DS","Misc","Nintendo","Nintendo",7.5,0.27,2
"DS","Puzzle","Namco","Namco",6.8,0.27,4
"GC","Platform","Buena Vista","Avalanche Software",7,0.27,10
"3DS","Platform","Activision","n-Space",7.7,0.27,10
"X360","Platform","THQ","Heavy Iron Studios",5.3,0.27,6
"Wii","Action","Activision","High Moon Studios",3.7,0.27,6
"X360","Action","Capcom","Blue Castle Games",7.6,0.27,10
"X360","Action","Sega","Sega Studios, San Francisco",5.1,0.27,5
"PS3","Action","Electronic Arts","Grasshopper Manufacture",7.9,0.27,6
"X360","Shooter","Ubisoft","Techland",5.2,0.27,7
"X360","Strategy","PopCap Games","PopCap Games",8.9,0.27,9
"X360","Strategy","Ubisoft","Eugen Systems",8,0.27,9
"X360","Shooter","Sega","Bizarre Creations",7.5,0.27,2
"X360","Shooter","Activision","Neversoft Entertainment",7.5,0.27,11
"X360","Shooter","SouthPeak Interactive","TimeGate Studios",7.1,0.27,9
"GC","Sports","EA Sports","EA Canada",8.4,0.27,10
"GC","Simulation","Electronic Arts","Maxis",6.9,0.27,10
"DS","Simulation","Nintendo","Indies Zero",8.5,0.27,3
"NS","Role-Playing","Nintendo","Square Enix",7.4,0.27,10
"DS","Role-Playing","Konami","Konami",7.7,0.27,3
"3DS","Role-Playing","Atlus","Atlus",7.9,0.27,10
"PS3","Role-Playing","Electronic Arts","BioWare Corp.",8.3,0.27,3
"PS","Role-Playing","Activision","Matrix Software",7.1,0.27,2
"PSP","Sports","EA Sports","Team Fusion",7.6,0.27,10
"PS3","Racing","Activision","Eutechnyx",6,0.27,3
"PSP","Sports","Sony Computer Entertainment","SCE San Diego Studio",8.8,0.27,3
"X360","Action","Ubisoft","Ubisoft Montpellier",7.9,0.26,11
"PSP","Action","LucasArts","Amaze",7.4,0.26,6
"GBA","Action","THQ","Human Soft",6,0.26,9
"PS3","Action","Activision","Shaba Games / Treyarch",6.9,0.26,10
"N64","Action","Activision","Kalisto Entertainment",7.1,0.26,1
"PS3","Action","Sega","Edge of Reality",5.6,0.26,6
"GBA","Racing","Acclaim Entertainment","Tantalus Interactive",5.5,0.26,8
"PS2","Racing","Sony Computer Entertainment","Studio Liverpool",7,0.26,9
"GC","Sports","EA Sports","EA Sports",8.9,0.26,3
"Wii","Sports","2K Sports","Visual Concepts",5,0.26,3
"X360","Sports","2K Sports","Visual Concepts",7.5,0.26,7
"PS","Sports","Sony Computer Entertainment","SCEA",6.3,0.26,8
"GC","Adventure","Ubisoft","Ubisoft Montreal",7,0.26,11
"Wii","Simulation","Ubisoft","Ubisoft",3.5,0.26,11
"N64","Simulation","LucasArts","Factor 5",8.5,0.26,12
"GBA","Role-Playing","Atari","Pronto Games",4.8,0.26,10
"3DS","Role-Playing","Atlus","Atlus",8.1,0.26,10
"DS","Role-Playing","Atlus","Atlus Co. / Lancarse",8.4,0.26,6
"PS","Role-Playing","ASCII Entertainment","From Software",7.3,0.26,10
"3DS","Role-Playing","Atlus","imageepoch Inc.",7.5,0.26,11
"PS","Simulation","Agetec","From Software",7.2,0.26,2
"GBA","Role-Playing","Nintendo","Square Enix",8.2,0.26,11
"PC","Strategy","Kalypso","Haemimont Games",7.9,0.26,8
"PC","Strategy","Ubisoft","Eugen Systems",8,0.26,9
"PS","Misc","Enix","Metro",7,0.26,3
"DS","Misc","Nintendo","Fuse Games Limited",7.6,0.26,10
"PS3","Misc","Sony Computer Entertainment","SCEE Cambridge",6.2,0.26,10
"GBA","Platform","Konami","Konami Computer Entertainment Tokyo",8.6,0.26,9
"DS","Platform","Ubisoft","Ubisoft Montreal",5.4,0.26,3
"PS","Platform","Sony Computer Entertainment","Whoopee Camp",8.6,0.26,6
"GBA","Platform","THQ","Altron",5.5,0.26,5
"DS","Puzzle","Nintendo","Mitchell",7.6,0.26,4
"N64","Shooter","Acclaim Entertainment","Acclaim Studios London",6.2,0.26,11
"X360","Shooter","Capcom","Capcom",7.4,0.26,5
"X360","Shooter","Gamecock","Spark Unlimited",4,0.26,11
"DC","Shooter","Sega","Wow Entertainment",7.5,0.26,9
"XB","Shooter","Sega","Smilebit",8.8,0.26,1
"PS3","Action","Ubisoft","Ubisoft Shanghai",8.3,0.26,3
"DS","Action","Capcom","Capcom",6.7,0.26,2
"GBA","Action","Konami","Konami",5,0.26,10
"X360","Action","Ignition Entertainment","Access Games",6,0.26,2
"X360","Action","Electronic Arts","EA Tiburon",5,0.26,11
"PC","Action","LucasArts","Traveller's Tales",7.6,0.25,3
"PS2","Action","THQ","A2M",6.6,0.25,5
"GBA","Platform","Sierra Entertainment","Amaze Entertainment",5,0.25,3
"3DS","Platform","Sega","Sanzaru Games",6.9,0.25,9
"3DS","Simulation","Namco Bandai","Namco Bandai Games",7,0.25,11
"PSP","Misc","Crave Entertainment","Supersonic Software",4.5,0.25,9
"X360","Simulation","Sega","From Software",6.5,0.25,3
"PS","Racing","Sony Computer Entertainment","Psygnosis",8.8,0.25,9
"X360","Racing","EA Sports","EA Tiburon",7.1,0.25,6
"X360","Sports","Konami Digital Entertainment","Konami",7.9,0.25,9
"PSP","Racing","VU Games","Radical Entertainment",6.3,0.25,11
"X360","Racing","THQ","Climax Studios",7.7,0.25,8
"GBA","Puzzle","Activision","Hudson Soft",8.8,0.25,6
"X360","Sports","2K Games","Venom Games",4,0.25,6
"XOne","Racing","Codemasters","Codemasters Birmingham",5.7,0.25,7
"GC","Fighting","EA Sports BIG","Aki Corporation",8.8,0.25,3
"PSP","Sports","Electronic Arts","Unknown",6.9,0.25,5
"X360","Sports","Tecmo","Team Ninja",5.3,0.25,11
"X360","Racing","THQ","Rainbow Studios",7,0.25,10
"PS2","Sports","2K Sports","Visual Concepts",8.3,0.25,11
"PS3","Adventure","Deep Silver","ZootFly",3.3,0.25,3
"3DS","Action-Adventure","Warner Bros. Interactive Entertainment","TT Fusion",7,0.25,4
"3DS","Action-Adventure","Nintendo","Tecmo Koei Games",5.7,0.25,4
"PS3","Role-Playing","Bethesda Softworks","InXile Entertainment",6.1,0.25,5
"PSP","Role-Playing","NIS America","Nippon Ichi Software",8.1,0.25,9
"N64","Role-Playing","Konami","KCEO",7,0.25,9
"PC","Role-Playing","Take-Two Interactive","Bethesda Softworks",9.2,0.25,7
"GC","Sports","Nintendo","Left Field Productions",7.6,0.25,1
"NS","Platform","Capcom","Digital Eclipse Software",8.5,0.25,5
"GC","Platform","Sega","Sonic Team",7.3,0.25,9
"PC","Action-Adventure","Ubisoft","Ubisoft Montreal",8,0.25,3
"GC","Adventure","Majesco","Game Arts",8.4,0.25,6
"PS","Role-Playing","3DO","3DO",6,0.25,2
"Wii","Role-Playing","Square Enix","Square Enix",6.9,0.25,3
"PS","Shooter","Crave Entertainment","SunSoft",7.7,0.25,5
"GC","Shooter","Electronic Arts","EA Los Angeles",7.9,0.25,6
"X360","Action","THQ","Unknown",7,0.25,3
"GC","Platform","Midway Games","A2M",4.6,0.25,11
"PS3","Shooter","Atari","Starbreeze Studios AB",8,0.25,4
"WiiU","Party","Nintendo","Intelligent Systems",6.2,0.25,6
"X360","Action","Activision","Beenox",5.8,0.25,10
"PS2","Role-Playing","Square Enix","Square Enix",7.3,0.25,9
"GBA","Action","Knowledge Adventure","Runecraft",6,0.25,10
"NS","Strategy","2K Games","Firaxis Games",9.4,0.25,11
"Wii","Action","Activision","Shaba Games / Treyarch",6,0.25,10
"PS","Role-Playing","Sony Computer Entertainment","Game Arts",8.4,0.25,9
"GC","Role-Playing","Activision","Raven Software",8.2,0.25,9
"PSP","Racing","Ubisoft","Sumo Digital",5.5,0.24,5
"PSP","Racing","THQ","Rainbow Studio",5.3,0.24,12
"PS","Action","Sony Computer Entertainment","Sony Computer Entertainment",1.9,0.24,12
"GC","Action","Ubisoft","Ubisoft Montpellier",8.1,0.24,11
"PS3","Action","Activision","Silicon Knights",5.1,0.24,9
"PS3","Role-Playing","NIS America","Gust",7,0.24,3
"Wii","Adventure","Ubisoft","Revolution Software",7.5,0.24,3
"XOne","Action","Electronic Arts","Hazelight",8.1,0.24,3
"PSP","Action","2K Games","Climax Group",5,0.24,2
"X360","Action","Activision","Silicon Knights",4.9,0.24,9
"X360","Action","Electronic Arts","Double Helix Games",3.8,0.24,8
"Wii","Action","Activision","Beenox Studios",7.5,0.24,9
"X360","Action","Namco Bandai","Namco Bandai Games",6.4,0.24,1
"GBA","Action","Rockstar Games","Digital Eclipse",7.1,0.24,10
"N64","Misc","Acclaim Entertainment","Acclaim Studios Austin",5.4,0.24,10
"PSP","Misc","Midway Games","Digital Eclipse",5.6,0.24,12
"PS2","Platform","Acclaim Entertainment","Acclaim Studios Austin",5.9,0.24,2
"GBA","Platform","Nintendo","Paon Corporation",7.1,0.24,9
"WiiU","Platform","Disney Interactive Studios","Junction Point Studios",5.9,0.24,11
"X360","Action","KOEI","Omega Force",6.3,0.24,6
"Wii","Action","Ubisoft","Quebec City",7.5,0.24,5
"PC","Shooter","THQ","Kaos Studios",6.6,0.24,3
"PC","Shooter","THQ","4a-games",7.5,0.24,3
"X360","Shooter","Ubisoft","Ubisoft Montreal",8,0.24,3
"XOne","Shooter","Activision","Infinity Ward",8.2,0.24,7
"PS3","Shooter","Activision","Raven Software",7.8,0.24,6
"Wii","Action","Capcom","Capcom Production Studio 4",5.8,0.24,12
"3DS","Role-Playing","Sega","Sega",7.5,0.24,7
"PSP","Role-Playing","NIS America","Nippon Ichi Software",8.7,0.24,10
"X360","Role-Playing","CDV Software Entertainment","Larian Studios",6,0.24,1
"GC","Role-Playing","Natsume","Marvelous Interactive",7.7,0.24,7
"GBA","Sports","Activision","Vicarious Visions",6,0.24,10
"X360","Sports","Sega","Sega-AM2",6.5,0.24,5
"PSP","Sports","EA Sports","EA Tiburon",8.1,0.24,6
"XB","Sports","EA Sports","EA Canada",7.8,0.24,4
"PS2","Misc","Capcom","Capcom",7.5,0.24,1
"X360","Misc","Sega","Sega",5.3,0.24,2
"PS4","Action-Adventure","Nordic Games","Gunfire Games",7.5,0.24,10
"PSP","Sports","Sony Computer Entertainment","989 Sports",8,0.24,4
"PS3","Sports","Ubisoft","Ubisoft Vancouver",4,0.24,6
"PSP","Sports","EA Sports","EA Canada",5.9,0.24,10
"N64","Fighting","Midway Games","Point of View",6.9,0.24,11
"X360","Adventure","Ubisoft","Ubisoft",5,0.24,12
"GC","Racing","Electronic Arts","Radical Entertainment",6,0.24,12
"GBA","Adventure","Nintendo","Nintendo EAD",8.4,0.24,6
"DS","Role-Playing","Atlus","imageepoch Inc.",6.8,0.24,8
"DS","Role-Playing","Marvelous Interactive","Matrix Software",7.1,0.24,3
"PS2","Role-Playing","Midway Games","Nautilus",8.1,0.24,9
"PS3","Racing","Codemasters","Asobo Studio",6.6,0.24,6
"GC","Simulation","Natsume","Marvelous Interactive",8,0.24,3
"N64","Action","3DO","3DO",7.6,0.24,7
"N64","Action","Midway Games","High Voltage Software",8,0.24,10
"X360","Action","Tecmo Koei","Omega Force",5.9,0.24,3
"X360","Strategy","Electronic Arts","EA Los Angeles",7,0.24,6
"PSP","Role-Playing","Xseed Games","Game Arts",7.9,0.24,3
"PSP","Role-Playing","Xseed Games","K2 LLC",5.2,0.24,4
"PS3","Role-Playing","Deep Silver","Piranha Bytes",5.5,0.23,7
"NS","Action","Koei Tecmo","Omega Force",7,0.23,3
"PC","MMO","Sony Online Entertainment","WBIE",7,0.23,1
"PS2","Role-Playing","Namco Bandai","CyberConnect2",6.2,0.23,5
"XOne","Racing","Deep Silver","Codemasters",9.2,0.23,6
"DS","Sports","Ubisoft","Ubisoft Montreal",6.2,0.23,11
"PS","Sports","Sony Computer Entertainment","SolWorks",7.2,0.23,9
"3DS","Platform","Sega","Griptonite Games",7,0.23,11
"NS","Platform","Activision","Toys for Bob",6.9,0.23,3
"X360","Sports","Sega","Eurocom Entertainment Software",5,0.23,1
"PS3","Simulation","Natsume","Neverland Company",6.5,0.23,10
"PS","Simulation","Psygnosis","Psygnosis",8.6,0.23,11
"PSP","Sports","EA Sports BIG","EA Montreal",8.2,0.23,10
"WiiU","Sports","EA Sports","EA Tiburon",7.2,0.23,11
"N64","Sports","Acclaim Entertainment","High Voltage Software",9.2,0.23,2
"PSP","Sports","EA Sports","Team Fusion",6.5,0.23,7
"PSP","Sports","Sony Computer Entertainment","Clap Hanz",8,0.23,6
"XB","Adventure","Electronic Arts","Electronic Arts",6.7,0.23,11
"DS","Role-Playing","Sega","imageepoch Inc.",6.5,0.23,1
"PS3","Role-Playing","NIS America","Compile Heart",5.4,0.23,5
"Wii","Action","Warner Bros. Interactive","Headstrong Games",6.4,0.23,9
"GC","Shooter","LucasArts","Vicarious Visions",7.1,0.23,11
"X360","Misc","MTV Games","Harmonix Music Systems",6.7,0.23,11
"PSP","Misc","Crave Entertainment","FarSight Studios",7.2,0.23,12
"GBA","Adventure","Activision","Human Soft / Ivolgamus",5.5,0.23,10
"X360","Misc","Microsoft Game Studios","Krome Studios",5.5,0.23,10
"X360","Action","2K Sports","Unknown",8,0.23,11
"X360","Action","Tecmo Koei","Omega Force",7.3,0.23,2
"3DS","Action","THQ","THQ",7,0.23,11
"SAT","Fighting","Sega","Sega-AM2",6.6,0.23,7
"Wii","Fighting","Midway Games","JGI Entertainment",6.8,0.23,5
"DS","Puzzle","Nintendo","Q Entertainment",8.8,0.23,6
"X360","Racing","Codemasters","Codemasters Birmingham",6.5,0.23,10
"XB","Racing","Gotham Games","Minds-Eye Productions",6,0.23,9
"PSP","Role-Playing","Xseed Games","K2 LLC",5,0.23,10
"PS","Role-Playing","Working Designs","Matrix Software",8.8,0.23,12
